,Y,2019-12-03,526318,"Ctgf protein, mouse","Ctgf protein, mouse",P,509123,,526318,"CCN2 protein, mouse","Ctgf protein, mouse",T,509123,
,Y,2019-12-03,526320,"Nov protein, mouse","Nov protein, mouse",P,714015,,526320,"Ccn3 protein, mouse","Nov protein, mouse",T,714015,
,Y,2019-12-03,526735,"EIF2C2 protein, mouse","EIF2C2 protein, mouse",P,714889,,526735,"Ago2 protein, mouse","EIF2C2 protein, mouse",T,714889,
,Y,2019-12-03,72820,"polyhomeotic distal protein, Drosophila","polyhomeotic distal protein, Drosophila",P,523162,,72820,"ph-d protein, Drosophila","polyhomeotic distal protein, Drosophila",T,523162,
,Y,2019-12-03,592911,DI17E6,DI17E6,P,870693,,592911,Abituzumab,DI17E6,T,870693,
,Y,2019-12-03,591337,AMG 181,abrilumab,T,950425,,591337,abrilumab,abrilumab,P,950425,
,Y,2019-12-03,551887,"Gm885 protein, mouse","Gm885 protein, mouse",P,793670,,551887,"Milr1 protein, mouse","Gm885 protein, mouse",T,793670,
,Y,2019-12-03,552424,"Als2cr4 protein, mouse","Als2cr4 protein, mouse",P,796198,,552424,"Tmem237 protein, mouse","Als2cr4 protein, mouse",T,796198,
,R,2019-12-03,508287,"RBBP8 protein, mouse",0,,,,508287,"RBBP8 protein, mouse",EC 3.1.-,,,
,R,2019-12-03,474016,"RHA2a protein, Arabidopsis",0,,,,474016,"RHA2a protein, Arabidopsis",EC 2.3.2.27,,,
,R,2019-12-03,474017,"RHG1a protein, Arabidopsis",0,,,,474017,"RHG1a protein, Arabidopsis",EC 2.3.2.27,,,
,R,2019-12-03,599914,KAF156,0,,,,599914,ganaplacide,85VMN9JU7A,,,
,R,2019-12-03,633607,solriamfetol,0,,,,633607,solriamfetol,939U7C91AI,,,
,R,2019-12-03,116084,"Nrbf1 protein, mouse",0,,,,116084,"Nrbf1 protein, mouse",EC 1.-,,,
,R,2019-12-03,80901,CGP 47645,143030-47-1,,,,80901,leflutrozole,RCX0IE6EJZ,,,
,R,2019-12-03,584497,"6-chloro-2-ethyl-N-(4-(4-(4-(trifluoromethoxy)phenyl)piperidin-1-yl)benzyl) imidazo(1,2-a)pyridine-3-carboxamide",0,,,,584497,telacebec,55G92WGH3X,,,
,R,2019-12-03,55732,vatinoxan hydrochloride,66932R910R,,,,55732,vatinoxan,342EYN0QFD,,,
,R,2019-12-03,40285,pyruvate formate-lyase activating enzyme,0,,,,40285,pyruvate formate-lyase activating enzyme,EC 2.3.1.-,,,
,R,2019-12-03,541422,"HypE protein, human",0,,,,541422,"HypE protein, human",EC 2.7.7.-,,,
,R,2019-12-03,627635,E6011,0,,,,627635,quetmolimab,G8NT4Q571B,,,
,R,2019-12-03,459939,"TIP49a protein, Arabidopsis",0,,,,459939,"TIP49a protein, Arabidopsis",EC 3.6.4.-,,,
,R,2019-12-03,447819,"ZDHHC7 protein, human",0,,,,447819,"ZDHHC7 protein, human",EC 2.3.1.-,,,
,R,2019-12-03,464939,"Zdhhc16 protein, mouse",0,,,,464939,"Zdhhc16 protein, mouse",EC 2.3.-,,,
,R,2019-12-03,483359,"Zfp364 protein, mouse",0,,,,483359,"Zfp364 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,486788,"Zfp472 protein, mouse",0,,,,486788,"Zfp472 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,460839,"MT201 antibody, human",0,,,,460839,adecatumumab,000705ZASD,,,
,R,2019-12-03,110275,"horridum toxin, Heloderma horridum",0,,,,110275,"horridum toxin, Heloderma horridum",EC 3.-,,,
,R,2019-12-03,482060,"RIE1 protein, Arabidopsis",0,,,,482060,"RIE1 protein, Arabidopsis",EC 2.3.2.27,,,
,R,2019-12-03,530470,"RNF24 protein, human",0,,,,530470,"RNF24 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,485186,"Rbbp9 protein, mouse",0,,,,485186,"Rbbp9 protein, mouse",EC 3.4.-,,,
,R,2019-12-03,113941,"Rbbp9 protein, rat",0,,,,113941,"Rbbp9 protein, rat",EC 3.-,,,
,R,2019-12-03,507412,"RebD protein, E coli",0,,,,507412,"RebD protein, E coli",EC 1.-,,,
,R,2019-12-03,513325,"Rgn protein, rat",0,,,,513325,"Rgn protein, rat",EC 3.1.1.-,,,
,R,2019-12-03,486411,"Rnf4 protein, rat",0,,,,486411,"Rnf4 protein, rat",EC 2.3.2.27,,,
,R,2019-12-03,621819,BAY 1187982,0,,,,621819,aprutumab ixadotin,DDD2AB5TWK,,,
,R,2019-12-03,575087,PF-03446962,0,,,,575087,ascrinvacumab,716FQ5REVO,,,
,R,2019-12-03,631691,GSK2857916,0,,,,631691,belantamab mafodotin,DB1041CXDG,,,
,R,2019-12-03,625350,PF-05335810,0,,,,625350,ralpancizumab,YB9L51E4MD,,,
,R,2019-12-03,491973,"Mocs1 protein, Drosophila",0,,,,491973,"Mocs1 protein, Drosophila",EC 4.1.-,,,
,R,2019-12-03,581856,GSK249320,0,,,,581856,refanezumab,3ZZ278643V,,,
,R,2019-12-03,95221,"SND1 protein, human",0,,,,95221,"SND1 protein, human",EC 3.1.-,,,
,R,2019-12-03,569293,RG 7160,0,,,,569293,imgatuzumab,V77J4WJF9Z,,,
,R,2019-12-03,626278,indusatumab,0,,,,626278,indusatumab,731FA8A8YO,,,
,R,2019-12-03,609745,MEDI-551,0,,,,609745,inebilizumab,74T7185BMM,,,
,R,2019-12-03,626035,CFZ533,0,,,,626035,iscalimab,0628T707D0,,,
,R,2019-12-03,624221,labetuzumab govitecan,0,,,,624221,labetuzumab govitecan,8E3HI6QQ9J,,,
,R,2019-12-03,607476,LY2495655,0,,,,607476,landogrozumab,B1792M902R,,,
,R,2019-12-03,607289,mirvetuximab soravtansine,0,,,,607289,mirvetuximab soravtansine,98DE7VN88D,,,
,R,2019-12-03,602878,ADC-1013,0,,,,602878,mitazalimab,Q9J81E7VFM,,,
,R,2019-12-03,518586,"mitofusin-binding protein, rat",0,,,,518586,"mitofusin-binding protein, rat",EC 1.-,,,
,R,2019-12-03,435026,mollusk-derived growth factor,0,,,,435026,mollusk-derived growth factor,EC 3.5.4.4,,,
,R,2019-12-03,557414,anti-IGF-1R antibody A12,0,,,,557414,cixutumumab,2285XW22DR,,,
,R,2019-12-03,569646,SAR 3419,0,,,,569646,coltuximab ravtansine,MRS84YT9L2,,,
,R,2019-12-03,601829,REGN1193,0,,,,601829,crotedumab,4JQ68PW6XF,,,
,R,2019-12-03,420063,PRO-140 monoclonal antibody,0,,,,420063,leronlimab,Y1J4NP8FF0,,,
,R,2019-12-03,479921,"Paf protein, Mycobacterium tuberculosis",0,,,,479921,"Paf protein, Mycobacterium tuberculosis",EC 6.3.1.-,,,
,R,2019-12-03,119965,"scolexin protein, Manduca sexta",0,,,,119965,"scolexin protein, Manduca sexta",EC 3.4.21.-,,,
,R,2019-12-03,529380,"sestrin 2 protein, mouse",0,,,,529380,"sestrin 2 protein, mouse",EC 1.11.1.-,,,
,R,2019-12-03,485521,"Miz1 protein, mouse",0,,,,485521,"Miz1 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,625981,bimekizumab,0,,,,625981,bimekizumab,09495UIM6V,,,
,R,2019-12-03,484872,"PTPLB protein, human",EC 4.2.1.-,,,,484872,"HACD2 protein, human",EC 4.2.1.134,,,
,R,2019-12-03,614160,DS-8201a,0,,,,614160,trastuzumab deruxtecan,5384HK7574,,,
,R,2019-12-03,626824,MHAB5553A,0,,,,626824,lesofavumab,J8O0SI025W,,,
,R,2019-12-03,493743,"EMD 273063 antibody, human",0,,,,493743,lorukafusp alfa,PL21OR4LXE,,,
,R,2019-12-03,547686,"FLJ23654 protein, human",0,,,,547686,"FLJ23654 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,590451,5-(4-ethylpiperazin-1-ylmethyl)pyridin-2-yl)-(5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzimidazol-5-yl)pyrimidin-2-yl)amine,0,,,,590451,abemaciclib,60UAB198HK,,,
,R,2019-12-03,572525,GMA161,0,,,,572525,GMA-161,I0TG4Z02RN,,,
,R,2019-12-03,583569,AMG-416,0,,,,583569,etelcalcetide hydrochloride,72PT5993DU,,,
,R,2019-12-03,582670,CH5424802,0,,,,582670,alectinib,LIJ4CT1Z3Y,,,
,R,2019-12-03,578834,"8-((1-(3,5-bis(trifluoromethyl)phenyl)ethoxy)methyl)-8-phenyl-1,7-diazaspiro(4,5)decan-2-one",0,,,,578834,rolapitant,NLE429IZUC,,,
,R,2019-12-03,549273,BMS-790052,0,,,,549273,daclatasvir,LI2427F9CI,,,
,R,2019-12-03,549068,LCZ 696,0,,,,549068,sacubitril-valsartan,WB8FT61183,,,
,R,2019-12-03,498596,"Fem1b protein, mouse",0,,,,498596,"Fem1b protein, mouse",EC 2.3.2.23,,,
,R,2019-12-03,67929,"FixL protein, Bacteria",0,,,,67929,"FixL protein, Bacteria",EC 2.7.13.1,,,
,R,2019-12-03,600094,NNC0109-0012,0,,,,600094,Fletikumab,82WG3POL9W,,,
,R,2019-12-03,118484,"GP43 protein, Xenopus",0,,,,118484,"GP43 protein, Xenopus",EC 3.4.21.-,,,
,R,2019-12-03,73182,"GP57-51 antigen, Trypanosoma cruzi",0,,,,73182,"GP57-51 antigen, Trypanosoma cruzi",EC 3.4.22.-,,,
,R,2019-12-03,626978,GSK3050002,0,,,,626978,GSK3050002,1PQB4AA2CT,,,
,R,2019-12-03,103487,"CER3 protein, Arabidopsis",0,,,,103487,"CER3 protein, Arabidopsis",EC 4.1.-,,,
,R,2019-12-03,534547,"CovS protein, Streptococcus pyogenes",0,,,,534547,"CovS protein, Streptococcus pyogenes",EC 2.7.13.1,,,
,R,2019-12-03,530533,"VprBP protein, human",0,,,,530533,"DCAF1 protein, human",EC 2.7.11.1,,,
,R,2019-12-03,620536,"DDB1 and CUL4 associated factor 11, human",0,,,,620536,"DDB1 and CUL4 associated factor 11, human",EC 2.3.2.23,,,
,R,2019-12-03,95961,"DHRS2 protein, human",EC 1.1.-,,,,95961,"DHRS2 protein, human",EC 1.1.1.184,,,
,R,2019-12-03,491867,"Nsd1 protein, mouse",0,,,,491867,"Nsd1 protein, mouse",EC 2.1.1.43,,,
,R,2019-12-03,429037,"uba2 protein, Drosophila",0,,,,429037,"uba2 protein, Drosophila",EC 6.2.1.45,,,
,R,2019-12-03,581980,BMS-936564,0,,,,581980,ulocuplumab,7KNP87L4X4,,,
,R,2019-12-03,406502,"ureG protein, Glycine max",0,,,,406502,"ureG protein, Glycine max",EC 3.6.1.-,,,
,R,2019-12-03,620833,urelumab,0,,,,620833,urelumab,230902QLLC,,,
,R,2019-12-03,437063,TMA-15 monoclonal antibody,0,,,,437063,urtoxazumab,232D35B3NT,,,
,R,2019-12-03,546866,AGT-181,0,,,,546866,valanafusp alpha,ML78ZA3RNC,,,
,R,2019-12-03,574067,MNRP1685A,0,,,,574067,vesencumab,7SF22186WT,,,
,R,2019-12-03,573866,MFGR1877A,0,,,,573866,vofatamab,JMH6YR91PG,,,
,R,2019-12-03,629677,REMD-477,0,,,,629677,volagidemab,77JYS6UZ0M,,,
,R,2019-12-03,622746,MCLA-128,0,,,,622746,zenocutuzumab,AE72RB1W1X,,,
,R,2019-12-03,585662,claudiximab,0,,,,585662,zolbetuximab,TF5MPQ8WGY,,,
,R,2019-12-03,115505,"Hgs protein, rat",0,,,,115505,"Hgs protein, rat",EC 3.6.1.-,,,
,R,2019-12-03,103332,"GST-RAP protein, recombinant",0,,,,103332,"GST-RAP protein, recombinant",EC 2.5.1.18,,,
,R,2019-12-03,485728,"Gda protein, rat",0,,,,485728,"Gda protein, rat",EC 3.5.4.3,,,
,R,2019-12-03,80283,"DctS protein, Rhodobacter capsulatus",0,,,,80283,"DctS protein, Rhodobacter capsulatus",EC 2.7.13.1,,,
,R,2019-12-03,502927,"MARCH-II protein, rat",0,,,,502927,"MARCH-II protein, rat",EC 2.3.2.27,,,
,R,2019-12-03,409208,"MOM protein, Arabidopsis",0,,,,409208,"MOM protein, Arabidopsis",EC 3.6.4.-,,,
,R,2019-12-03,53986,"Sbp protein, mouse",0,,,,53986,"Sbp protein, mouse",EC 1.-,,,
,R,2019-12-03,597969,RG7116,0,,,,597969,lumretuzumab,Y6M3205516,,,
,R,2019-12-03,106235,"ORF-2 protein, Streptomyces lividans",0,,,,106235,"ORF-2 protein, Streptomyces lividans",EC 2.7.1.2,,,
,R,2019-12-03,410601,"RRP8 protein, S cerevisiae",0,,,,410601,"RRP8 protein, S cerevisiae",EC 2.1.1.-,,,
,R,2019-12-03,581257,KRN330,0,,,,581257,KRN-330,A64J777I28,,,
,R,2019-12-03,629291,Hu5F9-G4,0,,,,629291,magrolimab,90YIEHRFJ9,,,
,R,2019-12-03,586745,"NdhS protein, Arabidopsis",0,,,,586745,"NdhS protein, Arabidopsis",EC 1.6.-,,,
,R,2019-12-03,485715,"Scop protein, rat",0,,,,485715,"Scop protein, rat",EC 3.1.3.16,,,
,R,2019-12-03,624713,namilumab,0,,,,624713,namilumab,MED485W763,,,
,R,2019-12-03,585625,IMGN529,0,,,,585625,naratuximab emtansine,WE1X5A83B9,,,
,R,2019-12-03,612881,CIM331,0,,,,612881,nemolizumab,GN465U8B72,,,
,R,2019-12-03,105231,nucleoredoxin,0,,,,105231,nucleoredoxin,EC 1.-,,,
,R,2019-12-03,489179,"nucleolar protein B-36, Physarum polycephalum",0,,,,489179,"nucleolar protein B-36, Physarum polycephalum",EC 2.1.1.-,,,
,R,2019-12-03,550337,AME 133,0,,,,550337,ocaratuzumab,NTY9893GD0,,,
,R,2019-12-03,625770,opicinumab,0,,,,625770,opicinumab,WX1WTN0Y15,,,
,R,2019-12-03,597368,PF-00547659,0,,,,597368,ontamalimab,6LGI7RV4PB,,,
,R,2019-12-03,587932,"pTAC5 protein, Arabidopsis",0,,,,587932,"pTAC5 protein, Arabidopsis",EC 5.3.4.1,,,
,R,2019-12-03,626247,parsatuzumab,0,,,,626247,parsatuzumab,435M4HCP2M,,,
,R,2019-12-03,585471,U3-1287,0,,,,585471,patritumab,86780VJI1Q,,,
,R,2019-12-03,586047,"penicillin-binding protein 2, Neisseria gonorrhoeae",0,,,,586047,"penicillin-binding protein 2, Neisseria gonorrhoeae",EC 3.4.16.4,,,
,R,2019-12-03,499862,"PDIP1 protein, mouse",0,,,,499862,"PDIP1 protein, mouse",EC 2.3.2.23,,,
,R,2019-12-03,624691,JNJ-61186372,0,,,,624691,JNJ-61186372,0JSR7Z0NB6,,,
,R,2019-12-03,503677,"AASDH protein, human",EC 1.2.1.3,,,,503677,"AASDH protein, human",EC 1.2.1.31,,,
,R,2019-12-03,79429,"Smarcad1 protein, mouse",0,,,,79429,"Smarcad1 protein, mouse",EC 3.6.4.-,,,
,R,2019-12-03,490640,"Snd1 protein, mouse",0,,,,490640,"Snd1 protein, mouse",EC 3.1.-,,,
,R,2019-12-03,490639,"Snd1 protein, rat",0,,,,490639,"Snd1 protein, rat",EC 3.1.-,,,
,R,2019-12-03,509762,"Spop protein, mouse",0,,,,509762,"Spop protein, mouse",EC 2.3.2.23,,,
,R,2019-12-03,118389,"Spry2 protein, mouse",0,,,,118389,"Spry2 protein, mouse",EC 2.7.11.1,,,
,R,2019-12-03,594305,TOL101,0,,,,594305,TOL-101,28X0AGG6P8,,,
,R,2019-12-03,518695,"TRIM37 protein, mouse",0,,,,518695,"TRIM37 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,106984,"TRIM38 protein, human",0,,,,106984,"TRIM38 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,414583,"TRIM39 protein, human",0,,,,414583,"TRIM39 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,541472,"TRIM5 protein, mouse",0,,,,541472,"TRIM5 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,93329,"TSV-PA protein, Trimeresurus stejnegeri",0,,,,93329,"TSV-PA protein, Trimeresurus stejnegeri",EC 3.4.21.-,,,
,R,2019-12-03,594804,MEDI-575,0,,,,594804,Tovetumab,2XY62K75UV,,,
,R,2019-12-03,568736,MK-7655,1OQF7TT3PF,,,,568736,relebactam,Y1MYA2UHFL,,,
,R,2019-12-03,93390,NK 433,0,,,,93390,NK 433,JRF22NV56M,,,
,R,2019-12-03,491879,"Fcmd protein, mouse",0,,,,491879,"Fcmd protein, mouse",EC 2.-,,,
,R,2019-12-03,412282,"HI1434 protein, Haemophilus influenzae",0,,,,412282,"HI1434 protein, Haemophilus influenzae",EC 4.2.-,,,
,R,2019-12-03,101245,"IHRP protein, pig",0,,,,101245,"IHRP protein, pig",EC 3.4.21.-,,,
,R,2019-12-03,475081,"IRF2BP1 protein, human",0,,,,475081,"IRF2BP1 protein, human",EC 2.3.2.27,,,
,R,2019-12-03,595155,MM-141,0,,,,595155,Istiratumab,XLR461MD3M,,,
,R,2019-12-03,499093,"Fkrp protein, mouse",0,,,,499093,"Fkrp protein, mouse",EC 2.-,,,
,R,2019-12-03,589517,"ZC3H12D protein, rat",0,,,,589517,"ZC3H12D protein, rat",EC 3.1.-,,,
,R,2019-12-03,609098,"PAD3 protein, mouse",EC 3.5.-,,,,609098,"PAD3 protein, mouse",EC 3.5.3.15,,,
,R,2019-12-03,633565,"Acsl3 protein, mouse",EC 6.2.1.-,,,,633565,"Acsl3 protein, mouse",EC 6.1.2.3,,,
,R,2019-12-03,93388,Mononine,0,,,,93388,Mononine,6U90Y1795T,,,
,R,2019-12-03,599766,"MOR103 monoclonal antibody, human",0,,,,599766,Otilimab,Y8127R3VCH,,,
,R,2019-12-03,81817,"Sah protein, rat",0,,,,81817,"Sah protein, rat",EC 6.2.1.-,,,
,R,2019-12-03,108693,"rTS protein, human",0,,,,108693,"rTS protein, human",EC 4.2.1.-,,,
,R,2019-12-03,109037,"Mid1 protein, mouse",0,,,,109037,"Mid1 protein, mouse",EC 2.3.2.27,,,
,R,2019-12-03,443107,"FKRP protein, human",0,,,,443107,"FKRP protein, human",EC 2.4.2.-,,,
,R,2019-12-03,489862,"ZC3H12D protein, human",0,,,,489862,"ZC3H12D protein, human",EC 3.1.-,,,
,R,2019-12-03,491317,"Rfng protein, mouse",0,,,,491317,"Rfng protein, mouse",EC 2.4.-,,,
,R,2019-12-03,626590,anti-5T4 antibody-monomethylauristatin conjugate,0,,,,626590,PF-06263507,V7U0JSO7FH,,,
,R,2019-12-03,594830,"PTPN9a protein, zebrafish",0,,,,594830,"PTPN9a protein, zebrafish",EC 3.1.3.48,,,
,R,2019-12-03,547074,"Tyrp1b protein, zebrafish",0,,,,547074,"Tyrp1b protein, zebrafish",EC 1.14.18.-,,,
,R,2019-12-03,77110,ambroxol-theophylline-7-acetate,0,,,,77110,ambroxol-theophylline-7-acetate,0HM1E174TN,,,
,R,2019-12-03,620303,PF-04236921,0,,,,620303,PF-04236921,2NHW9AKY9C,,,
,R,2019-12-03,622120,varlilumab,0,,,,622120,varlilumab,0125DUV5XC,,,
,R,2019-12-03,622443,PB2452,0,,,,622443,PB-2452,1TBM83QR9S,,,
,R,2019-12-03,573311,MM-111,0,,,,573311,MM-111,6IJ4CQY76O,,,
,R,2019-12-03,583063,AGS-1C4D4,0,,,,583063,MK-4721,L0505LPC7O,,,
,R,2019-12-03,27837,milbemycin,51570-36-6,,,,27837,moxidectin,NGU5H31YO9,,,
,R,2019-12-03,591337,AMG 181,0,,,,591337,abrilumab,Y9UQ37XT2T,,,
,R,2019-12-03,592911,DI17E6,0,,,,592911,Abituzumab,724QD330RD,,,
,R,2019-12-03,602877,AV-203,0,,,,602877,AV-203,841P9W25WA,,,
,R,2019-12-03,545477,AVE1642,0,,,,545477,AVE1642,Z9U2SS9ZC8,,,
,W,2019-12-03,599521,"anrukinzumab, human","anrukinzumab, human",P,883755,,599521,anrukinzumab,anrukinzumab,P,965563,
,W,2019-12-03,599766,"MOR103 monoclonal antibody, human","MOR103 monoclonal antibody, human",P,884112,,599766,Otilimab,Otilimab,P,965569,
,W,2019-12-03,36380,amyrin,amyrin,P,140881,,36380,beta-amyrin,beta-amyrin,P,696697,
,W,2019-12-03,486009,"TSC protein, human","TSC protein, human",P,582689,,486009,"TESC protein, human","TESC protein, human",P,995382,
,W,2019-12-03,549436,"formin 2, mouse","formin 2, mouse",P,771440,,549436,"formin 2 protein, mouse","formin 2 protein, mouse",P,958202,
,W,2019-12-03,551864,"CHAP protein, zebrafish","CHAP protein, zebrafish",P,776711,,551864,"synpo2la protein, zebrafish","synpo2la protein, zebrafish",P,954306,
,W,2019-12-03,587953,"formin 2, human","formin 2, human",P,858815,,587953,"formin 2 protein, human","formin 2 protein, human",P,958201,
,L,2019-12-03,620354,"Padi2 protein, rat","Padi2 protein, rat",P,672645,,461539,"Padi2 protein, rat","Padi2 protein, rat",P,672645,
,L,2019-12-03,528412,"Dia1 protein, rat","Dia1 protein, rat",P,718830,,629350,"Diaph1 protein, rat","Dia1 protein, rat",T,718830,
,L,2019-12-03,265,amyrin acetate,amyrin acetate,P,70344,,654245,amyrin acetate,amyrin acetate,P,70344,
,L,2019-12-03,562460,Synesthesia,Synesthesia,P,800744,,80311,Synesthesia,Synesthesia,P,800744,
,Y,2019-12-03,509303,TGN-1412 monoclonal antibody,TGN-1412,T,670899,,509303,TGN-1412,TGN-1412,P,670899,
,Y,2019-12-03,604456,ABT-806,ABT-806,P,894318,,604456,depatuxizumab,ABT-806,T,894318,
,Y,2019-12-03,112746,ch14.18 monoclonal antibody,dinutuximab,T,910589,,112746,dinutuximab,dinutuximab,P,910589,
,Y,2019-12-03,620843,ASG15ME,ASG15ME,P,927909,,620843,sirtratumab vedotin,ASG15ME,T,927909,
,Y,2019-12-03,518149,"CP-870,893","CP-870,893",P,694037,,518149,selicrelumab,"CP-870,893",T,694037,
,Y,2019-12-03,581327,177Lu-tetulomab,177Lu-tetulomab,P,844931,,581327,tetulomab tetraxetan lu-177,177Lu-tetulomab,T,844931,
,Y,2019-12-03,628586,ABBV-8E12,ABBV-8E12,P,947728,,628586,tilavonemab,ABBV-8E12,T,947728,
,Y,2019-12-03,585159,OPN-305,OPN-305,P,852339,,585159,tomaralimab,OPN-305,T,852339,
,Y,2019-12-03,112745,"Ptrf protein, mouse","Ptrf protein, mouse",P,498868,,112745,"Cavin1 protein, mouse","Ptrf protein, mouse",T,498868,
,Y,2019-12-03,621572,JTE-052,JTE-052,P,929308,,621572,delgocitinib,JTE-052,T,929308,
,Y,2019-12-03,557897,NC 6004,NC 6004,P,789998,,557897,demplatin pegraglumer,NC 6004,T,789998,
,Y,2019-12-03,623340,ZYAN1 compound,ZYAN1 compound,P,933454,,623340,desidustat,ZYAN1 compound,T,933454,
,Y,2019-12-03,512996,"9,10-dimethoxy-2-(2,4,6-trimethylphenylimino)-3-(N-carbamoyl-2-aminoethyl)-3,4,6,7-tetrahydro-2H-pyrimidino(6,1-a)isoquinolin-4-one","9,10-dimethoxy-2-(2,4,6-trimethylphenylimino)-3-(N-carbamoyl-2-aminoethyl)-3,4,6,7-tetrahydro-2H-pyrimidino(6,1-a)isoquinolin-4-one",P,680644,,512996,ensifentrine,"9,10-dimethoxy-2-(2,4,6-trimethylphenylimino)-3-(N-carbamoyl-2-aminoethyl)-3,4,6,7-tetrahydro-2H-pyrimidino(6,1-a)isoquinolin-4-one",T,680644,
,Y,2019-12-03,546866,AGT-181,valanafusp alpha,T,946934,,546866,valanafusp alpha,valanafusp alpha,P,946934,
,Y,2019-12-03,470330,monoclonal antibody IDEC131,monoclonal antibody IDEC131,P,530489,,470330,toralizumab,monoclonal antibody IDEC131,T,530489,
,Y,2019-12-03,119496,iodine-131 anti-B1 antibody,tositumomab I-131,T,910513,,119496,tositumomab I-131,tositumomab I-131,P,910513,
,Y,2019-12-03,600094,NNC0109-0012,NNC0109-0012,P,884678,,600094,Fletikumab,NNC0109-0012,T,884678,
,Y,2019-12-03,113761,"Odz4 protein, mouse","Odz4 protein, mouse",P,574528,,113761,"Tenm4 protein, mouse","Odz4 protein, mouse",T,574528,
,Y,2019-12-03,115087,"Hspa9b protein, mouse","Hspa9b protein, mouse",P,326512,,115087,"Hspa9-ps1 protein, mouse","Hspa9b protein, mouse",T,326512,
,Y,2019-12-03,115271,"Gipc protein, mouse","Gipc protein, mouse",P,850061,,115271,"Gipc1 protein, mouse","Gipc protein, mouse",T,850061,
,Y,2019-12-03,72186,"Csf2rb1 protein, mouse","Csf2rb1 protein, mouse",P,559298,,72186,"Csf2rb protein, mouse","Csf2rb1 protein, mouse",T,559298,
,Y,2019-12-03,64720,"Mgl1 protein, mouse","Mgl1 protein, mouse",P,518741,,64720,"Clec10a protein, mouse","Mgl1 protein, mouse",T,518741,
,Y,2019-12-03,72003,"H2-Ke2 protein, mouse","H2-Ke2 protein, mouse",P,566576,,72003,"Pfdn6 protein, mouse","H2-Ke2 protein, mouse",T,566576,
,Y,2019-12-03,77048,"Hnrpab protein, mouse","Hnrpab protein, mouse",P,598277,,77048,"Hnrnpab protein, mouse","Hnrpab protein, mouse",T,598277,
,Y,2019-12-03,81470,"Crry protein, mouse","Crry protein, mouse",P,547376,,81470,"Cr1l protein, mouse","Crry protein, mouse",T,547376,
,Y,2019-12-03,83794,"Hspa9a protein, mouse","Hspa9a protein, mouse",P,599748,,83794,"Hspa9 protein, mouse","Hspa9a protein, mouse",T,599748,
,Y,2019-12-03,526187,MORAb-009 monoclonal antibody,amatuximab,T,847549,,526187,amatuximab,amatuximab,P,847549,
,Y,2019-12-03,621903,GS-5745,GS-5745,P,930113,,621903,andecaliximab,GS-5745,T,930113,
,Y,2019-12-03,438271,LDP-02 monoclonal antibody,LDP-02 monoclonal antibody,P,794493,,438271,LDP-02,LDP-02 monoclonal antibody,T,794493,
,Y,2019-12-03,581643,CNTO 888,carlumab,T,845583,,581643,carlumab,carlumab,P,845583,
,Y,2019-12-03,579557,TRC105,TRC105,P,840029,,579557,carotuximab,TRC105,T,840029,
,Y,2019-12-03,593439,"CCRL1 protein, mouse","Ackr4 protein, mouse",T,959062,,593439,"Ackr4 protein, mouse","Ackr4 protein, mouse",P,959062,
,Y,2019-12-03,572525,GMA161,GMA161,P,822956,,572525,GMA-161,GMA161,T,822956,
,Y,2019-12-03,594305,TOL101,TOL101,P,873281,,594305,TOL-101,TOL101,T,873281,
,Y,2019-12-03,545764,AMG 479,ganitumab,T,826581,,545764,ganitumab,ganitumab,P,826581,
,Y,2019-12-03,569293,RG 7160,RG 7160,P,816023,,569293,imgatuzumab,RG 7160,T,816023,
,Y,2019-12-03,609745,MEDI-551,MEDI-551,P,905397,,609745,inebilizumab,MEDI-551,T,905397,
,Y,2019-12-03,607389,"HOIL1 protein, mouse","HOIL1 protein, mouse",P,900646,,607389,"Rbck1 protein, mouse","HOIL1 protein, mouse",T,900646,
,Y,2019-12-03,625155,ABT-308,ABT-308,P,936992,,625155,cendakimab,ABT-308,T,936992,
,Y,2019-12-03,474057,"cystatin SC protein, mouse","cystatin SC protein, mouse",P,541209,,474057,"Cstdc1 protein, mouse","cystatin SC protein, mouse",T,541209,
,Y,2019-12-03,474193,"Zfp393 protein, mouse","Zfp393 protein, mouse",P,541617,,474193,"Klf17 protein, mouse","Zfp393 protein, mouse",T,541617,
,Y,2019-12-03,474230,"Lnp protein, mouse","Lnp protein, mouse",P,541753,,474230,"Lnpk protein, mouse","Lnp protein, mouse",T,541753,
,Y,2019-12-03,475037,"ORF61 protein, mouse","ORF61 protein, mouse",P,544584,,475037,"Tmem259 protein, mouse","ORF61 protein, mouse",T,544584,
,Y,2019-12-03,477730,"Plf2 protein, mouse","Plf2 protein, mouse",P,552441,,477730,"Prl2c3 protein, mouse","Plf2 protein, mouse",T,552441,
